Institute Name,Program Name,State/All India Seats,Seat Pool,OPEN,OPEN-PwD,GEN-EWS,GEN-EWS-PwD,SC,SC-PwD,ST,ST-PwD,OBC-NCL,OBC-NCL-PwD,Total (includes Female Supernumerary),"Program-Total
                                            


Seat Capacity
                                            
Female Supernumerary",Program-Total
123,8,,,,,,,,,,,,,,,
Female-only (including Supernumerary),11,0,2,0,4,0,2,0,7,0,"26 (including ""8"" Supernumerary)",,,,,
Indian Institute  of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)",All India,Gender-Neutral,25,2,6,0,9,1,5,0,16,1,65,"80


0",0
80,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),6,0,2,0,2,0,1,0,4,0,"15 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology (BHU) Varanasi,"Architecture  (5 Years, Bachelor of Architecture)",All India,Gender-Neutral,8,1,2,0,3,0,2,0,5,0,21,"26


0",0
26,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,0,0,1,0,0,0,2,0,"5 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology (BHU) Varanasi,"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,7,1,2,0,3,0,2,0,5,1,21,"25


0",0
25,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,0,0,1,0,0,0,1,0,"4 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology (BHU) Varanasi,"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,6,1,2,0,2,1,1,0,4,0,17,"20


1",1
20,1,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,0,0,1,0,0,0,1,0,"4 (including ""1"" Supernumerary)",,,,,
Indian Institute  of Technology (BHU) Varanasi,"Ceramic Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,6,0,2,0,2,0,1,0,4,1,16,"18


2",2
18,2,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,0,0,1,0,0,0,1,0,"4 (including ""2"" Supernumerary)",,,,,
Indian Institute  of Technology (BHU) Varanasi,"Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,10,0,2,0,3,1,2,0,6,0,24,"28


2",2
28,2,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,"6 (including ""2"" Supernumerary)",,,,,
Indian Institute  of Technology (BHU) Varanasi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,10,0,2,0,4,0,2,0,7,1,26,"31


3",3
31,3,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""3"" Supernumerary)",,,,,
Indian Institute  of Technology (BHU) Varanasi,"Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,10,0,2,0,4,0,1,0,6,0,23,"29


1",1
29,1,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,1,0,1,0,1,0,2,0,"7 (including ""1"" Supernumerary)",,,,,
Indian Institute  of Technology (BHU) Varanasi,"Materials Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,9,1,2,0,3,0,1,0,6,0,22,"28


0",0
28,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,1,0,1,1,0,0,1,0,"6 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology (BHU) Varanasi,"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,10,1,2,0,4,0,1,1,6,1,26,"30


2",2
30,2,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,1,0,0,0,1,0,2,0,"6 (including ""2"" Supernumerary)",,,,,
Indian Institute  of Technology (BHU) Varanasi,"Metallurgical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,9,0,2,1,3,0,2,0,6,0,23,"27


1",1
27,1,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,1,0,1,0,0,0,1,0,"5 (including ""1"" Supernumerary)",,,,,
Indian Institute  of Technology (BHU) Varanasi,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,10,0,2,0,4,0,1,0,6,0,23,"28


2",2
28,2,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,0,0,1,0,1,0,2,0,"7 (including ""2"" Supernumerary)",,,,,
Indian Institute  of Technology (BHU) Varanasi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,16,1,4,1,6,0,3,0,10,0,41,"52


0",0
52,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,1,0,1,0,1,0,3,1,"11 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology (BHU) Varanasi,"Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,9,1,2,0,3,0,2,0,6,0,23,"27


1",1
27,1,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,1,0,1,0,0,0,1,0,"5 (including ""1"" Supernumerary)",,,,,
Indian Institute  of Technology (BHU) Varanasi,"Industrial Chemistry (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,6,0,2,0,2,0,2,0,4,0,16,"21


0",0
21,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,1,0,0,1,0,0,0,1,0,"5 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,6,0,2,0,2,0,2,0,4,0,16,"21


0",0
21,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,1,0,0,1,0,0,0,1,0,"5 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Guwahati,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,29,2,8,0,10,1,6,0,20,1,77,"87


10",10
87,10,,,,,,,,,,,,,,,
Female-only (including Supernumerary),8,0,2,0,2,1,2,0,5,0,"20 (including ""10"" Supernumerary)",,,,,
Indian Institute  of Technology Guwahati,"Chemical Science and Technology (4 Years, Bachelor of Technology)",All India,Gender-Neutral,20,1,5,0,8,0,3,1,13,1,52,"61


4",4
61,4,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,0,1,0,2,0,1,0,3,1,"13 (including ""4"" Supernumerary)",,,,,
Indian Institute  of Technology Guwahati,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,35,2,9,0,13,1,8,0,23,2,93,"99


18",18
99,18,,,,,,,,,,,,,,,
Female-only (including Supernumerary),10,0,2,0,3,1,2,0,6,0,"24 (including ""18"" Supernumerary)",,,,,
Indian Institute  of Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,35,2,9,0,13,1,7,0,22,2,91,"99


15",15
99,15,,,,,,,,,,,,,,,
Female-only (including Supernumerary),9,0,2,0,3,1,2,0,6,0,"23 (including ""15"" Supernumerary)",,,,,
Indian Institute  of Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,32,2,8,0,12,1,6,0,21,1,83,"90


14",14
90,14,,,,,,,,,,,,,,,
Female-only (including Supernumerary),9,0,2,0,2,1,1,0,6,0,"21 (including ""14"" Supernumerary)",,,,,
Indian Institute  of Technology Guwahati,"Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,19,1,5,0,7,0,4,0,12,1,49,"52


10",10
52,10,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,1,1,0,2,0,1,0,4,0,"13 (including ""10"" Supernumerary)",,,,,
Indian Institute  of Technology Guwahati,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,21,1,5,0,8,0,4,0,14,1,54,"61


7",7
61,7,,,,,,,,,,,,,,,
Female-only (including Supernumerary),6,0,1,0,2,0,1,0,3,1,"14 (including ""7"" Supernumerary)",,,,,
Indian Institute  of Technology Guwahati,"Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Gender-Neutral,22,1,6,0,9,0,3,1,15,0,57,"68


4",4
68,4,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,1,2,0,2,0,1,0,4,0,"15 (including ""4"" Supernumerary)",,,,,
Indian Institute  of Technology Guwahati,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,36,2,10,0,13,1,7,0,25,1,95,"99


20",20
99,20,,,,,,,,,,,,,,,
Female-only (including Supernumerary),9,1,2,1,3,0,2,0,6,0,"24 (including ""20"" Supernumerary)",,,,,
Indian Institute  of Technology Guwahati,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",All India,Gender-Neutral,10,0,2,0,3,1,2,0,6,0,24,"30


0",0
30,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,"6 (including ""0"" Supernumerary)",,,,,
Indian Institute  of Technology Guwahati,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,26,1,7,0,9,1,5,0,17,1,67,"79


5",5
79,5,,,,,,,,,,,,,,,
Female-only (including Supernumerary),6,0,2,0,2,1,1,0,5,0,"17 (including ""5"" Supernumerary)",,,,,
Indian Institute  of Technology Guwahati,"Energy Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,7,0,2,0,2,0,1,0,3,1,16,"20


0",0
20,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,0,0,1,0,0,0,1,0,"4 (including ""0"" Supernumerary)",,,,,
Indian Institute of Technology Bhilai,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,17,1,4,0,7,0,3,0,12,0,44,"50


5",5
50,5,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,1,0,0,2,0,1,0,3,0,"11 (including ""5"" Supernumerary)",,,,,
Indian Institute of Technology Bhilai,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,17,0,4,0,6,1,3,0,11,1,43,"50


4",4
50,4,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,2,0,1,0,1,0,3,0,"11 (including ""4"" Supernumerary)",,,,,
Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,16,1,4,1,6,0,3,1,10,1,43,"50


4",4
50,4,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,2,0,1,0,1,0,2,1,"11 (including ""4"" Supernumerary)",,,,,
Indian Institute of Technology Bhilai,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,6,0,1,0,3,1,1,0,3,1,16,"20


0",0
20,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,1,0,0,0,0,0,1,0,"4 (including ""0"" Supernumerary)",,,,,
Indian Institute of Technology Bhilai,"Mechatronics Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,6,1,2,0,2,0,1,0,4,0,16,"20


0",0
20,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,0,0,1,0,0,0,1,0,"4 (including ""0"" Supernumerary)",,,,,
Indian Institute of Technology Bhilai,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,4,0,3,0,9,0,32,"40


0",0
40,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,0,0,2,0,0,0,3,0,"8 (including ""0"" Supernumerary)",,,,,
Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,13,0,2,1,5,0,2,0,9,0,32,"32


8",8
32,8,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,1,0,1,1,"8 (including ""8"" Supernumerary)",,,,,
Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,4,0,4,1,3,0,9,0,34,"34


9",9
34,9,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,1,0,1,0,0,1,2,0,"9 (including ""9"" Supernumerary)",,,,,
Indian Institute of Technology Goa,"Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Gender-Neutral,8,0,3,0,4,0,2,0,6,0,23,"23


6",6
23,6,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,0,0,0,0,0,0,2,0,"6 (including ""6"" Supernumerary)",,,,,
Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,15,1,3,0,5,0,2,0,9,1,36,"36


9",9
36,9,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,1,1,0,2,0,1,0,2,0,"9 (including ""9"" Supernumerary)",,,,,
Indian Institute  of Technology Palakkad,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,5,0,2,0,9,0,32,"32


8",8
32,8,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,1,1,0,1,0,1,0,2,0,"8 (including ""8"" Supernumerary)",,,,,
Indian Institute  of Technology Palakkad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,14,0,3,0,4,1,2,0,8,0,32,"32


8",8
32,8,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,1,1,0,1,0,1,0,2,0,"8 (including ""8"" Supernumerary)",,,,,
Indian Institute  of Technology Palakkad,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,5,0,2,0,8,1,32,"32


8",8
32,8,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""8"" Supernumerary)",,,,,
Indian Institute  of Technology Palakkad,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,2,1,5,0,2,0,9,0,32,"32


8",8
32,8,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""8"" Supernumerary)",,,,,
Indian Institute  of Technology Palakkad,"Data Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,5,0,2,0,8,1,32,"32


8",8
32,8,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""8"" Supernumerary)",,,,,
Indian Institute  of Technology Tirupati,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,0,4,0,3,0,3,0,8,1,31,"37


2",2
37,2,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,0,0,2,0,0,0,2,0,"8 (including ""2"" Supernumerary)",,,,,
Indian Institute  of Technology Tirupati,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,0,3,0,4,0,3,0,7,1,30,"37


2",2
37,2,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,0,0,2,0,0,0,3,0,"9 (including ""2"" Supernumerary)",,,,,
Indian Institute  of Technology Tirupati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,16,0,5,0,7,0,2,1,11,0,42,"50


3",3
50,3,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,1,1,0,1,0,1,0,3,0,"11 (including ""3"" Supernumerary)",,,,,
Indian Institute  of Technology Tirupati,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,18,1,3,1,8,0,3,0,12,1,47,"57


3",3
57,3,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,1,2,0,1,0,1,0,3,0,"13 (including ""3"" Supernumerary)",,,,,
Indian Institute  of Technology Tirupati,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,16,1,4,0,6,1,3,0,11,1,43,"50


3",3
50,3,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,1,1,0,1,0,1,0,2,0,"10 (including ""3"" Supernumerary)",,,,,
Indian Institute of Technology Jammu,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,5,0,2,0,8,1,32,"40


0",0
40,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""0"" Supernumerary)",,,,,
Indian Institute of Technology Jammu,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,5,0,2,0,8,1,32,"40


0",0
40,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""0"" Supernumerary)",,,,,
Indian Institute of Technology Jammu,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,13,0,3,0,5,0,3,0,8,0,32,"40


0",0
40,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,0,1,1,0,0,0,2,1,"8 (including ""0"" Supernumerary)",,,,,
Indian Institute of Technology Jammu,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,4,1,3,0,8,0,32,"40


0",0
40,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,0,0,3,0,"8 (including ""0"" Supernumerary)",,,,,
Indian Institute of Technology Jammu,"Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,4,0,3,0,8,1,32,"40


0",0
40,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,0,0,2,0,0,0,2,0,"8 (including ""0"" Supernumerary)",,,,,
Indian Institute of Technology Jammu,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,13,0,3,1,5,0,2,0,8,0,32,"40


0",0
40,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,0,1,2,0,"8 (including ""0"" Supernumerary)",,,,,
Indian Institute of Technology Jammu,"Materials Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,13,0,3,0,4,1,2,0,9,0,32,"40


0",0
40,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,1,1,0,1,0,1,0,2,0,"8 (including ""0"" Supernumerary)",,,,,
Indian Institute of Technology Dharwad,"Chemical and Biochemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,4,1,1,0,2,0,1,0,3,0,12,"15


0",0
15,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,1,0,0,0,1,0,"3 (including ""0"" Supernumerary)",,,,,
Indian Institute of Technology Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,20,1,5,0,7,1,4,0,13,1,52,"62


3",3
62,3,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,0,1,0,2,0,1,0,4,0,"13 (including ""3"" Supernumerary)",,,,,
Indian Institute of Technology Dharwad,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,18,1,4,1,7,0,4,0,12,1,48,"57


3",3
57,3,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,0,1,0,2,0,1,0,3,0,"12 (including ""3"" Supernumerary)",,,,,
Indian Institute of Technology Dharwad,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,4,1,1,0,2,0,1,0,3,0,12,"15


0",0
15,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,1,0,0,0,1,0,"3 (including ""0"" Supernumerary)",,,,,
Indian Institute of Technology Dharwad,"Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Gender-Neutral,9,1,2,0,4,0,2,0,5,1,24,"28


2",2
28,2,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,"6 (including ""2"" Supernumerary)",,,,,
Indian Institute of Technology Dharwad,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,15,1,4,1,5,0,2,1,11,0,40,"47


3",3
47,3,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,1,0,1,0,1,0,3,0,"10 (including ""3"" Supernumerary)",,,,,
Indian Institute of Technology Dharwad,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,5,0,1,0,2,0,1,0,3,0,12,"15


0",0
15,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,1,0,0,0,1,0,"3 (including ""0"" Supernumerary)",,,,,
Indian Institute of Technology Dharwad,"Interdisciplinary Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))",All India,Gender-Neutral,19,0,4,1,7,1,4,0,11,1,48,"57


3",3
57,3,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,0,1,0,2,0,1,0,3,0,"12 (including ""3"" Supernumerary)",,,,,
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",PUNJAB,Gender-Neutral,9,1,2,0,3,0,2,0,6,0,23,"29


0",0
29,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,"6 (including ""0"" Supernumerary)",,,,,
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)","Other than 
PUNJAB",Gender-Neutral,10,0,2,0,3,0,2,0,5,1,23,"29


0",0
29,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,"6 (including ""0"" Supernumerary)",,,,,
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",PUNJAB,Gender-Neutral,12,1,3,0,5,0,2,0,8,1,32,"40


0",0
40,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""0"" Supernumerary)",,,,,
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)","Other than 
PUNJAB",Gender-Neutral,12,1,3,0,5,0,2,0,8,1,32,"40


0",0
40,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""0"" Supernumerary)",,,,,
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",PUNJAB,Gender-Neutral,15,0,4,0,5,1,1,0,10,0,36,"45


0",0
45,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,1,0,1,0,1,0,2,0,"9 (including ""0"" Supernumerary)",,,,,
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)","Other than 
PUNJAB",Gender-Neutral,14,1,4,0,5,0,2,0,10,0,36,"45


0",0
45,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,1,0,1,0,1,0,2,0,"9 (including ""0"" Supernumerary)",,,,,
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",PUNJAB,Gender-Neutral,4,1,1,0,2,0,1,0,3,0,12,"15


0",0
15,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,1,0,0,0,0,0,1,0,"3 (including ""0"" Supernumerary)",,,,,
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)","Other than 
PUNJAB",Gender-Neutral,4,1,1,0,2,0,1,0,2,1,12,"15


0",0
15,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,1,0,0,0,1,0,"3 (including ""0"" Supernumerary)",,,,,
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",PUNJAB,Gender-Neutral,24,1,6,0,9,1,4,1,16,1,63,"79


0",0
79,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),7,0,2,0,2,0,1,0,4,0,"16 (including ""0"" Supernumerary)",,,,,
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)","Other than 
PUNJAB",Gender-Neutral,24,1,5,1,10,0,5,0,16,1,63,"79


0",0
79,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),7,0,2,0,2,0,1,0,4,0,"16 (including ""0"" Supernumerary)",,,,,
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",PUNJAB,Gender-Neutral,10,0,2,0,4,0,2,0,6,0,24,"30


1",1
30,1,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,1,0,1,0,1,0,2,0,"7 (including ""1"" Supernumerary)",,,,,
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)","Other than 
PUNJAB",Gender-Neutral,10,0,2,0,3,1,2,0,6,0,24,"30


0",0
30,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,0,0,0,0,2,0,"6 (including ""0"" Supernumerary)",,,,,
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",PUNJAB,Gender-Neutral,13,1,3,0,4,1,3,0,10,0,35,"43


1",1
43,1,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,1,0,1,0,1,0,2,0,"9 (including ""1"" Supernumerary)",,,,,
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","Other than 
PUNJAB",Gender-Neutral,13,1,3,0,5,0,3,0,8,1,34,"43


0",0
43,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,1,0,1,0,1,0,2,0,"9 (including ""0"" Supernumerary)",,,,,
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",PUNJAB,Gender-Neutral,18,1,4,1,7,0,4,0,11,1,47,"58


3",3
58,3,,,,,,,,,,,,,,,
Female-only (including Supernumerary),6,0,1,0,2,0,1,0,4,0,"14 (including ""3"" Supernumerary)",,,,,
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)","Other than 
PUNJAB",Gender-Neutral,17,1,4,0,6,1,3,1,12,1,46,"57


3",3
57,3,,,,,,,,,,,,,,,
Female-only (including Supernumerary),6,0,1,0,2,0,1,0,4,0,"14 (including ""3"" Supernumerary)",,,,,
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)",PUNJAB,Gender-Neutral,12,1,2,1,5,0,2,0,8,1,32,"40


0",0
40,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""0"" Supernumerary)",,,,,
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)","Other than 
PUNJAB",Gender-Neutral,12,1,3,0,4,1,2,0,9,0,32,"40


0",0
40,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""0"" Supernumerary)",,,,,
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Information Technology (4 Years, Bachelor of Technology)",PUNJAB,Gender-Neutral,19,1,4,1,6,1,3,0,13,0,48,"60


0",0
60,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,0,1,0,2,0,1,0,3,0,"12 (including ""0"" Supernumerary)",,,,,
